dia_semana,qtd,ano
Quinta,42,2020
Quinta,55,2021
Quinta,40,2022
Quinta,58,2023
Quinta,71,2024
Quinta,35,2025
Terca,45,2020
Terca,59,2021
Terca,48,2022
Terca,67,2023
Terca,50,2024
Terca,31,2025
Quarta,31,2020
Quarta,27,2021
Quarta,36,2022
Quarta,49,2023
Quarta,47,2024
Quarta,33,2025
Segunda,32,2020
Segunda,22,2021
Segunda,16,2022
Segunda,55,2023
Segunda,35,2024
Segunda,18,2025
Sexta,17,2020
Sexta,32,2021
Sexta,29,2022
Sexta,27,2023
Sexta,33,2024
Sexta,28,2025
Sabado,23,2020
Sabado,25,2021
Sabado,18,2022
Sabado,23,2023
Sabado,29,2024
Sabado,15,2025
Domingo,10,2020
Domingo,18,2021
Domingo,10,2022
Domingo,11,2023
Domingo,21,2024
Domingo,22,2025
