dia_semana,qtd,ano,mes
Quarta,1,2020,2
Quarta,1,2020,3
Quarta,6,2020,4
Quarta,3,2020,5
Quarta,2,2020,6
Quarta,4,2020,7
Quarta,2,2020,8
Quarta,1,2020,9
Quarta,5,2020,11
Quarta,6,2020,12
Quarta,2,2021,1
Quarta,1,2021,2
Quarta,1,2021,3
Quarta,4,2021,4
Quarta,2,2021,5
Quarta,3,2021,6
Quarta,2,2021,7
Quarta,3,2021,8
Quarta,2,2021,9
Quarta,5,2021,10
Quarta,1,2021,11
Quarta,1,2021,12
Quarta,3,2022,2
Quarta,5,2022,3
Quarta,2,2022,4
Quarta,3,2022,5
Quarta,2,2022,6
Quarta,3,2022,8
Quarta,5,2022,9
Quarta,4,2022,10
Quarta,7,2022,11
Quarta,2,2022,12
Quarta,3,2023,1
Quarta,2,2023,2
Quarta,3,2023,3
Quarta,4,2023,4
Quarta,9,2023,5
Quarta,1,2023,6
Quarta,3,2023,7
Quarta,8,2023,8
Quarta,1,2023,9
Quarta,4,2023,10
Quarta,8,2023,11
Quarta,3,2023,12
Quarta,8,2024,1
Quarta,3,2024,2
Quarta,4,2024,3
Quarta,3,2024,4
Quarta,5,2024,5
Quarta,2,2024,6
Quarta,4,2024,7
Quarta,3,2024,8
Quarta,6,2024,9
Quarta,5,2024,10
Quarta,2,2024,11
Quarta,2,2024,12
Quarta,4,2025,1
Quarta,3,2025,2
Quarta,5,2025,3
Quarta,5,2025,4
Quarta,4,2025,5
Quarta,4,2025,6
Quarta,4,2025,7
Quarta,4,2025,8
Quarta,2,2025,9
Quinta,5,2020,3
Quinta,4,2020,4
Quinta,3,2020,5
Quinta,2,2020,6
Quinta,3,2020,7
Quinta,6,2020,8
Quinta,6,2020,9
Quinta,7,2020,10
Quinta,2,2020,11
Quinta,4,2020,12
Quinta,7,2021,1
Quinta,4,2021,2
Quinta,6,2021,3
Quinta,6,2021,4
Quinta,2,2021,5
Quinta,2,2021,6
Quinta,7,2021,7
Quinta,3,2021,8
Quinta,9,2021,9
Quinta,2,2021,10
Quinta,4,2021,11
Quinta,3,2021,12
Quinta,6,2022,1
Quinta,2,2022,2
Quinta,2,2022,3
Quinta,4,2022,4
Quinta,2,2022,5
Quinta,3,2022,7
Quinta,6,2022,8
Quinta,6,2022,9
Quinta,4,2022,10
Quinta,4,2022,11
Quinta,1,2022,12
Quinta,4,2023,1
Quinta,5,2023,2
Quinta,5,2023,3
Quinta,6,2023,4
Quinta,2,2023,5
Quinta,4,2023,6
Quinta,6,2023,7
Quinta,6,2023,8
Quinta,8,2023,9
Quinta,3,2023,10
Quinta,3,2023,11
Quinta,6,2023,12
Quinta,8,2024,1
Quinta,5,2024,2
Quinta,5,2024,3
Quinta,6,2024,4
Quinta,9,2024,5
Quinta,5,2024,6
Quinta,8,2024,7
Quinta,7,2024,8
Quinta,2,2024,9
Quinta,9,2024,10
Quinta,4,2024,11
Quinta,3,2024,12
Quinta,6,2025,1
Quinta,5,2025,2
Quinta,7,2025,3
Quinta,6,2025,4
Quinta,5,2025,5
Quinta,2,2025,6
Quinta,1,2025,7
Quinta,3,2025,8
Quinta,4,2025,9
Segunda,3,2020,3
Segunda,3,2020,4
Segunda,4,2020,5
Segunda,3,2020,6
Segunda,2,2020,7
Segunda,5,2020,8
Segunda,3,2020,10
Segunda,4,2020,11
Segunda,5,2020,12
Segunda,3,2021,1
Segunda,4,2021,2
Segunda,4,2021,3
Segunda,3,2021,4
Segunda,6,2021,11
Segunda,2,2021,12
Segunda,2,2022,1
Segunda,1,2022,2
Segunda,1,2022,3
Segunda,1,2022,8
Segunda,3,2022,9
Segunda,2,2022,10
Segunda,3,2022,11
Segunda,3,2022,12
Segunda,5,2023,1
Segunda,6,2023,2
Segunda,3,2023,3
Segunda,5,2023,4
Segunda,4,2023,5
Segunda,2,2023,6
Segunda,8,2023,7
Segunda,6,2023,8
Segunda,4,2023,9
Segunda,4,2023,10
Segunda,4,2023,11
Segunda,4,2023,12
Segunda,2,2024,1
Segunda,5,2024,2
Segunda,4,2024,3
Segunda,8,2024,4
Segunda,2,2024,5
Segunda,7,2024,6
Segunda,3,2024,7
Segunda,1,2024,9
Segunda,2,2024,10
Segunda,1,2024,12
Segunda,5,2025,1
Segunda,1,2025,3
Segunda,3,2025,4
Segunda,2,2025,5
Segunda,4,2025,6
Segunda,2,2025,7
Segunda,1,2025,8
Segunda,1,2025,9
Sabado,2,2020,3
Sabado,4,2020,4
Sabado,1,2020,5
Sabado,3,2020,6
Sabado,1,2020,7
Sabado,1,2020,9
Sabado,5,2020,10
Sabado,4,2020,11
Sabado,2,2020,12
Sabado,2,2021,1
Sabado,5,2021,2
Sabado,3,2021,4
Sabado,2,2021,5
Sabado,1,2021,8
Sabado,2,2021,9
Sabado,4,2021,10
Sabado,3,2021,11
Sabado,3,2021,12
Sabado,3,2022,1
Sabado,1,2022,2
Sabado,2,2022,3
Sabado,1,2022,4
Sabado,2,2022,5
Sabado,1,2022,6
Sabado,3,2022,10
Sabado,5,2022,12
Sabado,1,2023,1
Sabado,1,2023,2
Sabado,6,2023,3
Sabado,3,2023,4
Sabado,4,2023,6
Sabado,1,2023,8
Sabado,2,2023,9
Sabado,3,2023,11
Sabado,2,2023,12
Sabado,3,2024,1
Sabado,2,2024,3
Sabado,4,2024,4
Sabado,1,2024,5
Sabado,2,2024,7
Sabado,3,2024,8
Sabado,4,2024,9
Sabado,2,2024,10
Sabado,4,2024,11
Sabado,4,2024,12
Sabado,4,2025,2
Sabado,2,2025,3
Sabado,5,2025,5
Sabado,1,2025,7
Sabado,3,2025,8
Sabado,1,2025,9
Domingo,2,2020,3
Domingo,1,2020,4
Domingo,2,2020,5
Domingo,1,2020,7
Domingo,1,2020,8
Domingo,2,2020,10
Domingo,1,2020,12
Domingo,1,2021,1
Domingo,2,2021,2
Domingo,1,2021,3
Domingo,5,2021,5
Domingo,2,2021,6
Domingo,1,2021,7
Domingo,1,2021,8
Domingo,2,2021,9
Domingo,1,2021,10
Domingo,1,2021,11
Domingo,1,2021,12
Domingo,2,2022,1
Domingo,1,2022,2
Domingo,1,2022,5
Domingo,2,2022,7
Domingo,3,2022,8
Domingo,1,2022,11
Domingo,1,2023,3
Domingo,1,2023,4
Domingo,2,2023,5
Domingo,1,2023,6
Domingo,2,2023,8
Domingo,3,2023,9
Domingo,1,2023,10
Domingo,2,2024,3
Domingo,1,2024,5
Domingo,6,2024,6
Domingo,3,2024,7
Domingo,2,2024,8
Domingo,7,2024,9
Domingo,2,2025,1
Domingo,2,2025,2
Domingo,3,2025,3
Domingo,2,2025,4
Domingo,3,2025,5
Domingo,2,2025,6
Domingo,2,2025,7
Domingo,6,2025,8
Domingo,3,2025,9
Terca,2,2020,3
Terca,2,2020,4
Terca,2,2020,5
Terca,2,2020,6
Terca,4,2020,7
Terca,7,2020,8
Terca,11,2020,9
Terca,8,2020,10
Terca,3,2020,11
Terca,4,2020,12
Terca,4,2021,1
Terca,4,2021,2
Terca,7,2021,3
Terca,7,2021,4
Terca,2,2021,5
Terca,7,2021,6
Terca,6,2021,7
Terca,6,2021,8
Terca,5,2021,9
Terca,3,2021,10
Terca,4,2021,11
Terca,4,2021,12
Terca,4,2022,1
Terca,2,2022,2
Terca,4,2022,3
Terca,3,2022,4
Terca,2,2022,5
Terca,1,2022,7
Terca,3,2022,8
Terca,10,2022,9
Terca,3,2022,10
Terca,8,2022,11
Terca,8,2022,12
Terca,7,2023,1
Terca,7,2023,2
Terca,5,2023,3
Terca,6,2023,4
Terca,5,2023,5
Terca,5,2023,6
Terca,8,2023,7
Terca,3,2023,8
Terca,7,2023,9
Terca,4,2023,10
Terca,4,2023,11
Terca,6,2023,12
Terca,4,2024,1
Terca,3,2024,2
Terca,1,2024,3
Terca,2,2024,4
Terca,4,2024,5
Terca,6,2024,6
Terca,8,2024,7
Terca,4,2024,8
Terca,5,2024,9
Terca,4,2024,10
Terca,7,2024,11
Terca,2,2024,12
Terca,6,2025,1
Terca,3,2025,2
Terca,6,2025,3
Terca,4,2025,4
Terca,1,2025,5
Terca,1,2025,6
Terca,6,2025,7
Terca,4,2025,8
Terca,4,2025,9
Sexta,1,2020,3
Sexta,1,2020,4
Sexta,2,2020,5
Sexta,3,2020,6
Sexta,4,2020,7
Sexta,2,2020,8
Sexta,3,2020,9
Sexta,1,2020,11
Sexta,4,2021,1
Sexta,2,2021,2
Sexta,2,2021,3
Sexta,6,2021,4
Sexta,5,2021,5
Sexta,2,2021,6
Sexta,2,2021,7
Sexta,3,2021,8
Sexta,1,2021,9
Sexta,2,2021,10
Sexta,3,2021,11
Sexta,3,2022,2
Sexta,3,2022,3
Sexta,4,2022,4
Sexta,3,2022,5
Sexta,1,2022,6
Sexta,2,2022,8
Sexta,2,2022,9
Sexta,3,2022,10
Sexta,3,2022,11
Sexta,5,2022,12
Sexta,1,2023,1
Sexta,2,2023,3
Sexta,1,2023,4
Sexta,3,2023,5
Sexta,3,2023,6
Sexta,4,2023,7
Sexta,1,2023,8
Sexta,1,2023,9
Sexta,3,2023,10
Sexta,6,2023,11
Sexta,2,2023,12
Sexta,1,2024,1
Sexta,3,2024,2
Sexta,4,2024,3
Sexta,2,2024,4
Sexta,4,2024,5
Sexta,3,2024,7
Sexta,3,2024,8
Sexta,4,2024,9
Sexta,3,2024,10
Sexta,5,2024,11
Sexta,1,2024,12
Sexta,4,2025,1
Sexta,4,2025,2
Sexta,3,2025,3
Sexta,3,2025,4
Sexta,4,2025,5
Sexta,3,2025,6
Sexta,3,2025,7
Sexta,4,2025,8
Sexta,4,2025,9
