,ano,mes,qtd,distancia,calorias
0,2021,1,23,61.23999999999999,5891.996650695801
1,2021,2,22,77.40000000000002,5775.479103088379
2,2021,3,21,58.949999999999996,5548.946132659912
3,2021,4,29,76.61999999999999,7662.807205200195
4,2021,5,18,61.330000000000005,5876.81941986084
5,2021,6,16,53.67999999999999,5206.052276611328
6,2021,7,18,58.11999999999999,5744.886924743652
7,2021,8,17,56.14,5402.6472091674805
8,2021,9,21,59.26,5528.368843078613
9,2021,10,17,43.419999999999995,4128.431163787842
10,2021,11,22,49.36,4736.104167938232
11,2021,12,14,48.88,4629.386100769043
